ANO;nome_uc;qtde_polygons_prodes;sum_area_prodes_ha;qdte_polygons_mapbiomas_alertas;sum_area_mapbiomas_alertas_ha;qdte_firms_modis;qdte_firms_j1_viirs;qdte_firms_suomi_viirs;sum_area_total_ha;cluster;risk_level;risk_category;processado
2022;ESTAÇÃO ECOLÓGICA DA MATA PRETA;5;52.9784024330894;5;14.61;1;1;2;67.5884024330894;1;1;medio;
2022;FLORESTA NACIONAL DE CAÇADOR;3;6.921267202804901;3;2.83;2;0;0;9.7512672028049;0;0;baixo;
2022;FLORESTA NACIONAL DE CHAPECÓ;0;0.0;1;0.73;0;0;0;0.73;0;0;baixo;
2022;FLORESTA NACIONAL DE TRÊS BARRAS;2;7.8051626646828;0;0.0;0;0;0;7.8051626646828;0;0;baixo;
2022;PARQUE ESTADUAL ACARAI;17;53.2126295620703;1;2.21;0;0;0;55.42262956207031;1;1;medio;
2022;PARQUE ESTADUAL DA SERRA DO TABULEIRO;1;2.3495241810973;4;11.64;0;3;0;13.9895241810973;0;0;baixo;
2022;PARQUE ESTADUAL DA SERRA FURADA;7;10.8944585105035;2;2.16;0;0;0;13.0544585105035;0;0;baixo;
2022;PARQUE ESTADUAL DAS ARAUCÁRIAS;1;1.8412000256015;3;4.760000000000001;0;0;0;6.6012000256015;0;0;baixo;
2022;PARQUE ESTADUAL FRITZ PLAUMANN;6;13.5759321908934;7;10.18;0;0;0;23.7559321908934;1;1;medio;
2022;PARQUE ESTADUAL RIO CANOAS;6;10.1895313760366;2;5.489999999999999;0;3;3;15.6795313760366;1;1;medio;
2022;PARQUE NACIONAL DA SERRA DO ITAJAÍ;5;12.4691359112078;5;8.18;0;0;0;20.6491359112078;0;0;baixo;
2022;PARQUE NACIONAL DA SERRA GERAL;4;9.7499136614069;0;0.0;3;3;2;9.7499136614069;0;0;baixo;
2022;PARQUE NACIONAL DAS ARAUCÁRIAS;10;92.269328449604;11;55.37;1;4;0;147.639328449604;2;2;alto;
2022;PARQUE NACIONAL DE APARADOS DA SERRA;3;32.1041116706921;0;0.0;3;1;1;32.1041116706921;1;1;medio;
2022;PARQUE NACIONAL DE SÃO JOAQUIM;16;50.643310481127;7;10.59;1;0;0;61.23331048112701;1;1;medio;
2022;PARQUE NATURAL MUNICIPAL ARMANDO ROSA;0;0.0;1;0.68;0;0;0;0.68;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL CAMINHO DO PEABIRU;2;5.055396444068499;1;2.6;0;0;0;7.655396444068499;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL CARIJÓS;17;75.8884397545224;1;11.28;0;0;0;87.1684397545224;1;1;medio;
2022;PARQUE NATURAL MUNICIPAL CHAPÉU DAS ÁGUAS;5;21.336456418962;4;11.52;0;0;0;32.856456418962;1;1;medio;
2022;PARQUE NATURAL MUNICIPAL DA CAIEIRA;3;34.7436037425647;0;0.0;0;0;0;34.7436037425647;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL DE NAVEGANTES;2;12.940091733451;1;9.45;0;0;0;22.390091733451;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL DO ATALAIA;1;2.5740030321151;0;0.0;0;0;0;2.5740030321151;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL ILHA DAS CAPIVARAS/SIBARA;4;11.8542549139854;2;6.77;0;0;0;18.6242549139854;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL JOÃO JOSÉ THEODORO DA COSTA NETO;3;73.349489443695;0;0.0;6;8;4;73.349489443695;2;2;alto;
2022;PARQUE NATURAL MUNICIPAL MARACAJÁ;3;5.3649844154;1;0.28;1;0;0;5.644984415400001;0;0;baixo;
2022;PARQUE NATURAL MUNICIPAL MORRO DO BAÚ;5;10.293015898838;0;0.0;1;0;0;10.293015898838;0;0;baixo;
